Std;E
143.62980520034967;-92.85928592859285
143.5991298586718;-92.83928392839285
143.56845451706178;-92.81928192819282
143.53777917551903;-92.7992799279928
143.50710383404459;-92.77927792779278
143.47642849263787;-92.75927592759275
143.44575315129904;-92.73927392739274
143.41507781002719;-92.71927192719272
143.38440246882425;-92.6992699269927
143.35372712768847;-92.67926792679268
143.3230517866215;-92.65926592659265
143.29237644562187;-92.63926392639264
143.26170110469045;-92.61926192619262
143.23102576382723;-92.5992599259926
143.20035042303206;-92.57925792579258
143.16967508230533;-92.55925592559257
143.1389997416466;-92.53925392539254
143.1083244010568;-92.51925192519252
143.0776490605347;-92.4992499249925
143.04697372008098;-92.47924792479247
143.0162983796954;-92.45924592459247
142.98562303937865;-92.43924392439244
142.95494769913114;-92.41924192419242
142.92427235895082;-92.3992399239924
142.89359701884018;-92.37923792379237
142.86292167879787;-92.35923592359237
142.83224633882395;-92.33923392339234
142.80157099891906;-92.31923192319232
142.77089565908307;-92.2992299229923
142.74022031931543;-92.27922792279227
142.70954497961705;-92.25922592259226
142.67886963998728;-92.23922392239224
142.64819430042675;-92.21922192219222
142.61751896093512;-92.1992199219922
142.58684362151237;-92.17921792179217
142.556168282159;-92.15921592159216
142.52549294287496;-92.13921392139214
142.49481760365907;-92.11921192119212
142.46414226451367;-92.0992099209921
142.4334669254365;-92.07920792079207
142.40279158642926;-92.05920592059206
142.3721162474913;-92.03920392039204
142.34144090862273;-92.01920192019202
142.31076556982333;-91.999199919992
142.28009023109348;-91.97919791979197
142.24941489243358;-91.95919591959196
142.21873955384316;-91.93919391939194
142.188064215322;-91.91919191919192
142.15738887687021;-91.8991899189919
142.1267135384888;-91.87918791879187
142.09603820017702;-91.85918591859186
142.06536286193537;-91.83918391839184
142.034687523763;-91.81918191819182
142.0040121856606;-91.7991799179918
141.97333684762864;-91.77917791779178
141.94266150966587;-91.75917591759176
141.9119861717734;-91.73917391739174
141.88131083395152;-91.71917191719172
141.85063549619946;-91.69916991699169
141.81996015851746;-91.67916791679168
141.7892848209059;-91.65916591659166
141.75860948336438;-91.63916391639164
141.72793414589307;-91.61916191619162
141.69725880849273;-91.5991599159916
141.6665834711622;-91.57915791579158
141.63590813390195;-91.55915591559156
141.60523279671236;-91.53915391539154
141.57455745959373;-91.51915191519151
141.54388212254497;-91.4991499149915
141.5132067855677;-91.47914791479148
141.4825314486607;-91.45914591459146
141.45185611182416;-91.43914391439144
141.42118077505833;-91.41914191419141
141.39050543836407;-91.3991399139914
141.35983010174016;-91.37913791379138
141.32915476518704;-91.35913591359136
141.298479428705;-91.33913391339134
141.2678040922935;-91.31913191319131
141.23712875595356;-91.2991299129913
141.2064534196847;-91.27912791279128
141.17577808348713;-91.25912591259126
141.14510274736026;-91.23912391239124
141.11442741130494;-91.21912191219121
